marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
JAC,S2,8.49,33000,1.5,O’Higgins,2023,gasolina,mecanico
RAM,1500,30.49,29000,3.6,Los Lagos,2021,gasolina,automatico
VOLKSWAGEN,TIGUAN,14.79,73000,1.4,Metropolitana,2019,gasolina,automatico
CHEVROLET,GROOVE,10.99,57000,1.5,Los Lagos,2021,gasolina,mecanico
KIA,SELTOS,14.5,49000,1.6,Los Lagos,2020,gasolina,mecanico
MAZDA,CX-5,10.98,125600,2.0,Metropolitana,2014,gasolina,automatico
SSANGYONG,GRAND MUSSO,14.49,85000,1.6,O’Higgins,2022,diesel,mecanico
CITROEN,C5,15.89,62000,1.5,Metropolitana,2021,diesel,automatico
SUZUKI,JIMNY,15.39,31000,1.5,Metropolitana,2022,gasolina,mecanico
GREAT WALL,POER,14.59,66000,2.0,Metropolitana,2022,diesel,mecanico
DONGFENG,T5 EVO,15.49,21000,1.5,Metropolitana,2023,gasolina,automatico
CHERY,TIGGO 2,8.99,17000,1.5,Metropolitana,2023,gasolina,mecanico
PEUGEOT,RIFTER,17.89,51000,1.5,Metropolitana,2022,diesel,automatico
CHANGAN,CS35,8.99,52000,1.6,Metropolitana,2020,gasolina,mecanico
BMW,118,18.69,66500,1.5,Metropolitana,2020,gasolina,automatico
MAXUS,T60,10.0,143000,2.8,Metropolitana,2020,diesel,mecanico
MG,HS,14.79,21430,2.0,Valparaíso,2022,gasolina,automatico
MAZDA,BT-50,30.99,6000,3.0,Valparaíso,2023,diesel,automatico
AUDI,A4,22.5,66000,2.0,Metropolitana,2018,diesel,automatico
NISSAN,QASHQAI,7.999,89600,2.0,Metropolitana,2014,gasolina,automatico
RENAULT,SYMBOL,7.48,44000,1.6,Metropolitana,2021,gasolina,mecanico
HYUNDAI,TUCSON,10.19,145900,,Metropolitana,2012,diesel,automatico
JEEP,COMPASS,1.55,78000,2.4,Coquimbo,2019,gasolina,mecanico
M. BENZ,C300,38.99,30000,,Biobío,2022,gasolina,automatico
TOYOTA,COROLLA,21.8,40500,1.8,Coquimbo,2022,diesel,automatico
HYUNDAI,CRETA,10.8,51000,1.6,Coquimbo,2016,gasolina,mecanico
FORD,EDGE,14.8,97400,3.5,Coquimbo,2017,gasolina,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
MAZDA,CX-3,13.99,42000,2.0,Metropolitana,2019,gasolina,automatico
CHEVROLET,GROOVE,11.7,16000,1.5,Metropolitana,2022,gasolina,mecanico
KIA,SORENTO,20.29,120000,2.2,Metropolitana,2020,diesel,automatico
SUBARU,OUTBACK,16.3,129816,2.5,Metropolitana,2019,gasolina,automatico
KIA,SPORTAGE,12.99,75000,2.0,Biobío,2018,gasolina,mecanico
MAZDA,CX5,11.79,142000,2.0,Biobío,2015,gasolina,mecanico
JEEP,GRAND CHEROKEE,17.99,126000,3.6,Biobío,2019,gasolina,automatico
FORD,ESCAPE,4.49,140000,3.0,Ñuble,2004,gasolina,automatico
CHEVROLET,SILVERADO,34.99,41000,5.3,Biobío,2021,gasolina,automatico
DODGE,RAM 1500,19.99,148000,5.7,La Araucanía,2017,gasolina,automatico
SUZUKI,BALENO,8.6,83139,1.4,Metropolitana,2018,gasolina,automatico
BMW,320I,15.99,94000,2.0,Biobío,2016,gasolina,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
M. BENZ,C,28.9,51000,3.0,Biobío,2017,gasolina,automatico
SUZUKI,DZIRE,7.98,55000,1.2,Metropolitana,2022,gasolina,mecanico
FORD,Ranger Raptor,33.99,88000,2.0,Biobío,2021,gasolina,automatico
FORD,F-150,21.99,74000,3.3,Biobío,2019,gasolina,automatico
JAGUAR,XE,18.99,92000,2.5,Biobío,2019,gasolina,automatico
AUDI,A3,13.3,90673,1.4,Metropolitana,2018,gasolina,automatico
AUDI,S4,22.99,75000,3.0,Biobío,2013,gasolina,automatico
GREAT WALL,POER,22.99,11000,2.0,Biobío,2023,diesel,automatico
PEUGEOT,301,9.59,78000,1.6,Metropolitana,2021,diesel,mecanico
HONDA,PILOT,28.99,82000,3.5,Metropolitana,2020,gasolina,automatico
TOYOTA,RAV4,10.59,170000,2.0,Metropolitana,2018,gasolina,automatico
JAC,S2,6.99,75000,1.5,Metropolitana,2019,gasolina,mecanico
PEUGEOT,2008,10.39,63000,1.6,Metropolitana,2019,diesel,mecanico
MAZDA,MAZDA3,11.99,61000,2.0,Metropolitana,2019,gasolina,mecanico
BMW,220,19.99,82000,,Metropolitana,2018,gasolina,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
VOLKSWAGEN,GOLF,9.97,84657,1.6,Metropolitana,2017,,
KIA,RIO,7.99,106000,,Metropolitana,2017,gasolina,mecanico
FORD,FUSION,10.49,74000,,Metropolitana,2015,gasolina,automatico
NISSAN,VERSA,10.99,52000,1.6,La Araucanía,2020,gasolina,automatico
PEUGEOT,208,13.97,50788,1.2,Metropolitana,2021,gasolina,automatico
MITSUBISHI,L200,18.99,117000,2.4,Metropolitana,2018,diesel,automatico
