combustible,comuna,kilometraje,motor,name,precio,region,transmision,vendedor
,"Las Condes,gasolina","68,267 km",1.6,2022 Nissan Kicks 1.6 CVT Auto Rock Edition,"$15,891,991 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","19,341 km",1.4,2022 Seat Tarraco 1.4 TSI Xcellence DSG Cuero,"$20,898,420 CLP",Metropolitana de Santiago,automático,Automotora Usado - Metropolitana de Santiago
,"Las Condes,gasolina","28,473 km",1.2,2023 Opel Corsa 1.2 Edition,"$10,498,678 CLP",Metropolitana de Santiago,manual,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"127,000 km",,2018 BMW X6 XDRIVE35I 3.0 4X4 AUT,"$35,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"147,932 km",,2002 BMW 330 CIA CABRIO 3.0 AUT,"$19,990,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,Lo Barnechea,"144,917 km",,2013 BMW X5 XDRIVE 35I 3.0 AUT,"$16,790,000 CLP",Metropolitana de Santiago,,Automotora Usado - Metropolitana de Santiago
,"Lo Barnechea,gasolina","131,000 km",1.8,2017 Chevrolet Montana 1.8 LS,"$5,590,000 CLP",Metropolitana de Santiago,manual,Automotora Usado - Metropolitana de Santiago
,"Puente Alto,gasolina","136,000 km",2.4,2011 Toyota Rav4 2.4 4x2 Auto,"$6,000,000 CLP",Metropolitana de Santiago,automático,Particular - Metropolitana de Santiago
,"Peñalolén,gasolina","116,500 km",5.3,2019 Chevrolet Silverado 5.3 Auto High Country 4WD,"$30,000,000 CLP",Metropolitana de Santiago,automático,Particular - Metropolitana de Santiago
,Quillota,"62,000 km",,2020 Nissan Qashqai,"$12,000,000 CLP",Valparaíso,,Particular - Valparaíso
