id;enlace;titulo;marca;modelo;motor;combustible;kilometraje;transmision;precio;localidad;region
CL-AD-14962093;https://www.chileautos.cl/vehiculos/detalles/2014-mazda-6-2-0-skyactiv-g-v-auto/CL-AD-14962093/?Cr=368;2014 Mazda 6 2.0 Skyactiv-G V Auto;MAZDA;MAZDA6;20;Bencina;120000;Automatica;9700000.0;Los Angeles; Bio Bio
CL-AD-13955921;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-3-sport/CL-AD-13955921/?Cr=369;2013 Mazda 3 Sport;;;;Bencina;52200;Manual;9500000.0;Providencia;
CL-AD-15183962;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-3-1-6-v/CL-AD-15183962/?Cr=370;2012 Mazda 3 1.6 V;MAZDA;MAZDA3;16;Bencina;260000;Manual;5700000.0;San Miguel;
CL-AD-12809373;https://www.chileautos.cl/vehiculos/detalles/2010-mazda-cx-7/CL-AD-12809373/?Cr=371;2010 Mazda Cx-7;;;;Bencina;177000;Automatica;8290000.0;Las Condes;
CL-AD-15499247;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CL-AD-15499247/?Cr=372;2020 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD;MAZDA;BT-50;32;Diesel;92000;Automatica;20900000.0;Vitacura;
CL-AD-13866583;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CL-AD-13866583/?Cr=373;2015 Mazda Bt-50 3.2 DSL SDX Auto Hi Rider 4WD;MAZDA;BT-50;32;Diesel;211000;Automatica;16000000.0;Valdivia; Los Rios
CL-AD-15438361;https://www.chileautos.cl/vehiculos/detalles/2012-mazda-3-sport/CL-AD-15438361/?Cr=374;2012 Mazda 3 Sport;;;;Bencina;150000;Manual;7290000.0;San Antonio; Valparaiso
CL-AD-13662317;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-2-1-5-v-auto-skyactive-sport/CL-AD-13662317/?Cr=375;2016 Mazda 2 1.5 V Auto Skyactive Sport;MAZDA;MAZDA2;15;Bencina;87000;Automatica;10900000.0;Las Condes;
CL-AD-14004198;https://www.chileautos.cl/vehiculos/detalles/2018-mazda-3-2-5-skyactiv-g-gt-auto-a-bose/CL-AD-14004198/?Cr=376;2018 Mazda 3 2.5 Skyactiv-G GT Auto A. Bose;MAZDA;MAZDA3;25;Bencina;81700;Automatica;14600000.0;Nunoa;
CL-AD-14609482;https://www.chileautos.cl/vehiculos/detalles/2010-mazda-3-1-6-s-ac/CL-AD-14609482/?Cr=377;2010 Mazda 3 1.6 S AC;MAZDA;MAZDA3;16;Bencina;165000;Manual;5400000.0;Providencia;
